id,date,status,matchday,home_team,away_team,home_team_id,away_team_id,home_score,away_score,winner,season
444295,2023-09-24T16:00:00Z,FINISHED,5,Bologna FC 1909,SSC Napoli,103,113,0,0,DRAW,2023-2024
444302,2023-09-24T18:45:00Z,FINISHED,5,Torino FC,AS Roma,586,100,1,1,DRAW,2023-2024
444310,2023-09-26T18:45:00Z,FINISHED,6,Juventus FC,US Lecce,109,5890,1,0,HOME_TEAM,2023-2024
444304,2023-09-27T16:30:00Z,FINISHED,6,Cagliari Calcio,AC Milan,104,98,1,3,AWAY_TEAM,2023-2024
444305,2023-09-27T16:30:00Z,FINISHED,6,Empoli FC,US Salernitana 1919,445,455,1,0,HOME_TEAM,2023-2024
444308,2023-09-27T16:30:00Z,FINISHED,6,Hellas Verona FC,Atalanta BC,450,102,0,1,AWAY_TEAM,2023-2024
444309,2023-09-27T18:45:00Z,FINISHED,6,FC Internazionale Milano,US Sassuolo Calcio,108,471,1,2,AWAY_TEAM,2023-2024
444311,2023-09-27T18:45:00Z,FINISHED,6,SS Lazio,Torino FC,110,586,2,0,HOME_TEAM,2023-2024
444313,2023-09-27T18:45:00Z,FINISHED,6,SSC Napoli,Udinese Calcio,113,115,4,1,HOME_TEAM,2023-2024
444306,2023-09-28T16:30:00Z,FINISHED,6,Frosinone Calcio,ACF Fiorentina,470,99,1,1,DRAW,2023-2024
444312,2023-09-28T16:30:00Z,FINISHED,6,AC Monza,Bologna FC 1909,5911,103,0,0,DRAW,2023-2024
444307,2023-09-28T18:45:00Z,FINISHED,6,Genoa CFC,AS Roma,107,100,4,1,HOME_TEAM,2023-2024
444317,2023-09-30T13:00:00Z,FINISHED,7,US Lecce,SSC Napoli,5890,113,0,4,AWAY_TEAM,2023-2024
444318,2023-09-30T16:00:00Z,FINISHED,7,AC Milan,SS Lazio,98,110,2,0,HOME_TEAM,2023-2024
444320,2023-09-30T18:45:00Z,FINISHED,7,US Salernitana 1919,FC Internazionale Milano,455,108,0,4,AWAY_TEAM,2023-2024
444315,2023-10-01T10:30:00Z,FINISHED,7,Bologna FC 1909,Empoli FC,103,445,3,0,HOME_TEAM,2023-2024
444323,2023-10-01T13:00:00Z,FINISHED,7,Udinese Calcio,Genoa CFC,115,107,2,2,DRAW,2023-2024
444314,2023-10-01T16:00:00Z,FINISHED,7,Atalanta BC,Juventus FC,102,109,0,0,DRAW,2023-2024
444319,2023-10-01T18:45:00Z,FINISHED,7,AS Roma,Frosinone Calcio,100,470,2,0,HOME_TEAM,2023-2024
444321,2023-10-02T16:30:00Z,FINISHED,7,US Sassuolo Calcio,AC Monza,471,5911,0,1,AWAY_TEAM,2023-2024
444322,2023-10-02T16:30:00Z,FINISHED,7,Torino FC,Hellas Verona FC,586,450,0,0,DRAW,2023-2024
444316,2023-10-02T18:45:00Z,FINISHED,7,ACF Fiorentina,Cagliari Calcio,99,104,3,0,HOME_TEAM,2023-2024
444325,2023-10-06T16:30:00Z,FINISHED,8,Empoli FC,Udinese Calcio,445,115,0,0,DRAW,2023-2024
444331,2023-10-06T18:45:00Z,FINISHED,8,US Lecce,US Sassuolo Calcio,5890,471,1,1,DRAW,2023-2024
444328,2023-10-07T13:00:00Z,FINISHED,8,FC Internazionale Milano,Bologna FC 1909,108,103,2,2,DRAW,2023-2024
444329,2023-10-07T16:00:00Z,FINISHED,8,Juventus FC,Torino FC,109,586,2,0,HOME_TEAM,2023-2024
444327,2023-10-07T18:45:00Z,FINISHED,8,Genoa CFC,AC Milan,107,98,0,1,AWAY_TEAM,2023-2024
444332,2023-10-08T10:30:00Z,FINISHED,8,AC Monza,US Salernitana 1919,5911,455,3,0,HOME_TEAM,2023-2024
444326,2023-10-08T13:00:00Z,FINISHED,8,Frosinone Calcio,Hellas Verona FC,470,450,2,1,HOME_TEAM,2023-2024
444330,2023-10-08T13:00:00Z,FINISHED,8,SS Lazio,Atalanta BC,110,102,3,2,HOME_TEAM,2023-2024
444324,2023-10-08T16:00:00Z,FINISHED,8,Cagliari Calcio,AS Roma,104,100,1,4,AWAY_TEAM,2023-2024
444333,2023-10-08T18:45:00Z,FINISHED,8,SSC Napoli,ACF Fiorentina,113,99,1,3,AWAY_TEAM,2023-2024
444337,2023-10-21T13:00:00Z,FINISHED,9,Hellas Verona FC,SSC Napoli,450,113,1,3,AWAY_TEAM,2023-2024
444342,2023-10-21T16:00:00Z,FINISHED,9,Torino FC,FC Internazionale Milano,586,108,0,3,AWAY_TEAM,2023-2024
444341,2023-10-21T18:45:00Z,FINISHED,9,US Sassuolo Calcio,SS Lazio,471,110,0,2,AWAY_TEAM,2023-2024
444339,2023-10-22T10:30:00Z,FINISHED,9,AS Roma,AC Monza,100,5911,1,0,HOME_TEAM,2023-2024
444335,2023-10-22T13:00:00Z,FINISHED,9,Bologna FC 1909,Frosinone Calcio,103,470,2,1,HOME_TEAM,2023-2024
444340,2023-10-22T13:00:00Z,FINISHED,9,US Salernitana 1919,Cagliari Calcio,455,104,2,2,DRAW,2023-2024
444334,2023-10-22T16:00:00Z,FINISHED,9,Atalanta BC,Genoa CFC,102,107,2,0,HOME_TEAM,2023-2024
444338,2023-10-22T18:45:00Z,FINISHED,9,AC Milan,Juventus FC,98,109,0,1,AWAY_TEAM,2023-2024
444343,2023-10-23T16:30:00Z,FINISHED,9,Udinese Calcio,US Lecce,115,5890,1,1,DRAW,2023-2024
444336,2023-10-23T18:45:00Z,FINISHED,9,ACF Fiorentina,Empoli FC,99,445,0,2,AWAY_TEAM,2023-2024
444346,2023-10-27T18:45:00Z,FINISHED,10,Genoa CFC,US Salernitana 1919,107,455,1,0,HOME_TEAM,2023-2024
444353,2023-10-28T13:00:00Z,FINISHED,10,US Sassuolo Calcio,Bologna FC 1909,471,103,1,1,DRAW,2023-2024
444350,2023-10-28T16:00:00Z,FINISHED,10,US Lecce,Torino FC,5890,586,0,1,AWAY_TEAM,2023-2024
444348,2023-10-28T18:45:00Z,FINISHED,10,Juventus FC,Hellas Verona FC,109,450,1,0,HOME_TEAM,2023-2024
444344,2023-10-29T11:30:00Z,FINISHED,10,Cagliari Calcio,Frosinone Calcio,104,470,4,3,HOME_TEAM,2023-2024
444351,2023-10-29T14:00:00Z,FINISHED,10,AC Monza,Udinese Calcio,5911,115,1,1,DRAW,2023-2024
444347,2023-10-29T17:00:00Z,FINISHED,10,FC Internazionale Milano,AS Roma,108,100,1,0,HOME_TEAM,2023-2024
444352,2023-10-29T19:45:00Z,FINISHED,10,SSC Napoli,AC Milan,113,98,2,2,DRAW,2023-2024
444345,2023-10-30T17:30:00Z,FINISHED,10,Empoli FC,Atalanta BC,445,102,0,3,AWAY_TEAM,2023-2024
444349,2023-10-30T19:45:00Z,FINISHED,10,SS Lazio,ACF Fiorentina,110,99,1,0,HOME_TEAM,2023-2024
444355,2023-11-03T19:45:00Z,FINISHED,11,Bologna FC 1909,SS Lazio,103,110,1,0,HOME_TEAM,2023-2024
444362,2023-11-04T14:00:00Z,FINISHED,11,US Salernitana 1919,SSC Napoli,455,113,0,2,AWAY_TEAM,2023-2024
444354,2023-11-04T17:00:00Z,FINISHED,11,Atalanta BC,FC Internazionale Milano,102,108,1,2,AWAY_TEAM,2023-2024
444360,2023-11-04T19:45:00Z,FINISHED,11,AC Milan,Udinese Calcio,98,115,0,1,AWAY_TEAM,2023-2024
444359,2023-11-05T11:30:00Z,FINISHED,11,Hellas Verona FC,AC Monza,450,5911,1,3,AWAY_TEAM,2023-2024
