match_id,date,home_team,away_team,season,home_form_wins,home_form_points,home_form_goals_for,home_form_goals_against,home_form_matches,away_form_wins,away_form_points,away_form_goals_for,away_form_goals_against,away_form_matches,home_win_rate_at_home,home_avg_goals_at_home,home_matches_at_home,away_win_rate_away,away_avg_goals_away,away_matches_away,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_avg_goals,h2h_matches,home_score,away_score,winner
444312,2023-09-28 16:30:00+00:00,AC Monza,Bologna FC 1909,2023-2024,1,5,4,7,5,1,6,3,4,5,0.5,1.5,2,0.0,0.5,2,0,0,0,0.0,0,0,0,DRAW
444306,2023-09-28 16:30:00+00:00,Frosinone Calcio,ACF Fiorentina,2023-2024,2,8,8,7,5,3,10,11,9,5,0.6666666666666666,2.3333333333333335,3,0.6666666666666666,2.0,3,0,0,0,0.0,0,1,1,DRAW
444307,2023-09-28 18:45:00+00:00,Genoa CFC,AS Roma,2023-2024,1,4,4,8,5,1,5,12,7,5,0.0,1.5,2,0.0,1.0,2,0,0,0,0.0,0,4,1,HOME_TEAM
444317,2023-09-30 13:00:00+00:00,US Lecce,SSC Napoli,2023-2024,2,8,6,4,5,2,8,9,5,5,1.0,1.6666666666666667,3,0.3333333333333333,1.6666666666666667,3,0,0,0,0.0,0,0,4,AWAY_TEAM
444318,2023-09-30 16:00:00+00:00,AC Milan,SS Lazio,2023-2024,4,12,11,8,5,2,7,6,6,5,1.0,2.5,2,0.3333333333333333,1.3333333333333333,3,0,0,0,0.0,0,2,0,HOME_TEAM
444320,2023-09-30 18:45:00+00:00,US Salernitana 1919,FC Internazionale Milano,2023-2024,0,2,2,8,5,4,12,13,3,5,0.0,0.6666666666666666,3,1.0,1.5,2,0,0,0,0.0,0,0,4,AWAY_TEAM
444315,2023-10-01 10:30:00+00:00,Bologna FC 1909,Empoli FC,2023-2024,1,7,3,2,5,1,3,1,12,5,0.3333333333333333,0.6666666666666666,3,0.0,0.0,2,0,0,0,0.0,0,3,0,HOME_TEAM
444323,2023-10-01 13:00:00+00:00,Udinese Calcio,Genoa CFC,2023-2024,0,3,2,7,5,2,7,7,5,5,0.0,0.0,3,0.3333333333333333,0.3333333333333333,3,0,0,0,0.0,0,2,2,DRAW
444314,2023-10-01 16:00:00+00:00,Atalanta BC,Juventus FC,2023-2024,3,9,9,5,5,3,10,9,6,5,1.0,2.5,2,0.6666666666666666,2.3333333333333335,3,0,0,0,0.0,0,0,0,DRAW
444319,2023-10-01 18:45:00+00:00,AS Roma,Frosinone Calcio,2023-2024,1,4,11,9,5,2,9,8,5,5,0.3333333333333333,3.3333333333333335,3,0.0,0.5,2,0,0,0,0.0,0,2,0,HOME_TEAM
444322,2023-10-02 16:30:00+00:00,Torino FC,Hellas Verona FC,2023-2024,2,7,6,7,5,1,4,3,6,5,0.3333333333333333,0.6666666666666666,3,0.3333333333333333,0.6666666666666666,3,0,0,0,0.0,0,0,0,DRAW
444321,2023-10-02 16:30:00+00:00,US Sassuolo Calcio,AC Monza,2023-2024,3,9,11,10,5,1,6,4,5,5,0.6666666666666666,2.3333333333333335,3,0.0,0.3333333333333333,3,0,0,0,0.0,0,0,1,AWAY_TEAM
